title,company,location,work_type,level,compensation,link,id,scraped_date
ERP AI Engineer - Senior Associate,PwC,,,,,https://www.builtinla.com/job/erp-ai-engineer-senior-associate/10300618,10300618,2026-07-22
Senior AI Engineer,Metropolis Technologies,,,,,https://www.builtinla.com/job/senior-ai-engineer/9122136,9122136,2026-07-22
NGA AI Engineer Senior Manager,PwC,,,,,https://www.builtinla.com/job/nga-ai-engineer-senior-manager/8823061,8823061,2026-07-22
Staff AI Engineer (Acquia DAM),Acquia,,,,,https://www.builtinla.com/job/staff-ai-engineer/9860983,9860983,2026-07-22
"Embedded AI Engineer, On-Device Models",Deepgram,,,,,https://www.builtinla.com/job/embedded-ai-engineer-device-models/10085186,10085186,2026-07-22
Principal AI Engineer,Crunchyroll,,,,,https://www.builtinla.com/job/principal-ai-engineer/9544471,9544471,2026-07-22
Senior AI Engineer,ClassWallet,,,,,https://www.builtinla.com/job/senior-ai-engineer/9890075,9890075,2026-07-22
NGA AI Engineer Manager,PwC,,,,,https://www.builtinla.com/job/nga-ai-engineer-manager/9319986,9319986,2026-07-22
Staff AI Engineer,Drata,,,,,https://www.builtinla.com/job/staff-ai-software-engineer/8629184,8629184,2026-07-22
Staff AI Engineer - Foundation (Remote),Rula,,,,,https://www.builtinla.com/job/staff-ai-engineer-applied-ai-remote/8921079,8921079,2026-07-22
Sr. Staff AI Engineer (Remote),Rula,,,,,https://www.builtinla.com/job/sr-staff-ai-engineer-remote/9185177,9185177,2026-07-22
AI Engineer,Samsara,,,,,https://www.builtinla.com/job/business-technology-ai-engineer-iv/8384879,8384879,2026-07-22
"Lead AI Engineer, GTM Applications (Remote)",CrowdStrike,,,,,https://www.builtinla.com/job/lead-ai-engineer-gtm-applications-remote/9719253,9719253,2026-07-22
Senior Applied AI Engineer,GrayMatter Robotics,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer/8327260,8327260,2026-07-22
AI Engineer,Genius Sports,,,,,https://www.builtinla.com/job/senior-software-engineer-sports-ai/9302212,9302212,2026-07-22
Senior Solution Engineer-  (AI & Start-Ups). Los Angeles,Cloudflare,,,,,https://www.builtinla.com/job/senior-solution-engineer-ai-start-ups-los-angeles/10299405,10299405,2026-07-22
"DreamWorks Technology -  Principal Engineer, AI",NBCUniversal,,,,,https://www.builtinla.com/job/dreamworks-technology-principal-engineer-ai/10274421,10274421,2026-07-22
Lead AI Product Engineer - AI Agents & Emerging Products,System1,,,,,https://www.builtinla.com/job/lead-ai-product-engineer-ai-agents-emerging-products/8196329,8196329,2026-07-22
Applied AI Health System Engineer - Senior Manager,PwC,,,,,https://www.builtinla.com/job/applied-ai-health-system-engineer-senior-manager/9021332,9021332,2026-07-22
Software Engineer II (AI Focus),Parsec Automation,,,,,https://www.builtinla.com/job/software-engineer-ii-ai-focus/9145840,9145840,2026-07-22
"Senior Applied AI Engineer, Position Statements",Pivotal Health,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer-position-statements/9949812,9949812,2026-07-22
AI Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/ai-engineer/10282235,10282235,2026-07-22
Forward Deployed AI Engineer,Emberos,,,,,https://www.builtinla.com/job/forward-deployed-ai-engineer/9876698,9876698,2026-07-22
"Platform Engineer, AI (Levels I, II, III)",True Anomaly,,,,,https://www.builtinla.com/job/platform-engineer-ai-levels-i-ii-iii/9769106,9769106,2026-07-22
"Staff Platform Engineer, AI",True Anomaly,,,,,https://www.builtinla.com/job/staff-platform-engineer-ai/9769108,9769108,2026-07-22
"Senior Platform Engineer, AI",True Anomaly,,,,,https://www.builtinla.com/job/senior-platform-engineer-ai/9769113,9769113,2026-07-22
"Sr. AI Infrastructure Engineer, LLM/AI Platforms (Remote)",CrowdStrike,,,,,https://www.builtinla.com/job/senior-ai-infrastructure-engineer-llm-ai-platforms/10081292,10081292,2026-07-22
Sr. AI Agent Developer (Remote),CrowdStrike,,,,,https://www.builtinla.com/job/sr-ai-agent-developer-remote/10023724,10023724,2026-07-22
"Senior Software Engineer, Voice AI Platform",Toast,,,,,https://www.builtinla.com/job/senior-software-engineer-voice-ai/9872235,9872235,2026-07-22
Senior Business Intelligence Engineer- AI-Driven Analytics,SambaSafety,,,,,https://www.builtinla.com/job/senior-business-intelligence-engineer-ai-driven-analytics/10298902,10298902,2026-07-22
Lead AI Engineer,VioletX,,,,,https://www.builtinla.com/job/lead-ai-engineer/9686585,9686585,2026-07-22
