title,company,location,work_type,level,compensation,link,id,scraped_date
ERP AI Engineer - Senior Associate,PwC,,,,,https://www.builtinla.com/job/erp-ai-engineer-senior-associate/10300618,10300618,2026-07-22
"Embedded AI Engineer, On-Device Models",Deepgram,,,,,https://www.builtinla.com/job/embedded-ai-engineer-device-models/10085186,10085186,2026-07-22
Senior Solution Engineer-  (AI & Start-Ups). Los Angeles,Cloudflare,,,,,https://www.builtinla.com/job/senior-solution-engineer-ai-start-ups-los-angeles/10299405,10299405,2026-07-22
"DreamWorks Technology -  Principal Engineer, AI",NBCUniversal,,,,,https://www.builtinla.com/job/dreamworks-technology-principal-engineer-ai/10274421,10274421,2026-07-22
"Senior Applied AI Engineer, Position Statements",Pivotal Health,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer-position-statements/9949812,9949812,2026-07-22
AI Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/ai-engineer/10282235,10282235,2026-07-22
"Sr. AI Infrastructure Engineer, LLM/AI Platforms (Remote)",CrowdStrike,,,,,https://www.builtinla.com/job/senior-ai-infrastructure-engineer-llm-ai-platforms/10081292,10081292,2026-07-22
Sr. AI Agent Developer (Remote),CrowdStrike,,,,,https://www.builtinla.com/job/sr-ai-agent-developer-remote/10023724,10023724,2026-07-22
Senior Business Intelligence Engineer- AI-Driven Analytics,SambaSafety,,,,,https://www.builtinla.com/job/senior-business-intelligence-engineer-ai-driven-analytics/10298902,10298902,2026-07-22
AI Integrations Staff Engineer,Vetcove,,,,,https://www.builtinla.com/job/ai-integrations-staff-engineer/10296473,10296473,2026-07-22
AI Engineer,Brainforge,,,,,https://www.builtinla.com/job/ai-engineer/10247050,10247050,2026-07-22
AI Data Engineer,Dscout,,,,,https://www.builtinla.com/job/ai-data-engineer/10295144,10295144,2026-07-22
AI Platform Engineer (Remote),CrowdStrike,,,,,https://www.builtinla.com/job/ai-platform-engineer-remote/9786842,9786842,2026-07-22
Senior AI/ML Engineer,Dragos,,,,,https://www.builtinla.com/job/senior-ai-ml-engineer/10275192,10275192,2026-07-22
Staff AI/ML Engineer,Dragos,,,,,https://www.builtinla.com/job/staff-ai-ml-engineer/10275175,10275175,2026-07-22
